wikidata	wikidatalink	source_page	instance_of	part_of	subclass_of	eu	eu_wikipedia	es	es_wikipedia	en	en_wikipedia	fr	fr_wikipedia	it	it_wikipedia	de	de_wikipedia	pt	pt_wikipedia	ca	ca_wikipedia	cs	cs_wikipedia
Q3480295	https://wikidata.org/wiki/Q3480295	Utility_bicycle			https://wikidata.org/wiki/Q11442	Paseoko bizikleta		bicicleta doméstica		utility bicycle	https://en.wikipedia.org/wiki/Utility bicycle					Nutzfahrrad		Bicicleta utilitária	https://pt.wikipedia.org/wiki/Bicicleta utilitária	bicicleta urbana				
-1	https://wikidata.org/wiki/-1	Mountain_bicycle																						
Q948482	https://wikidata.org/wiki/Q948482	Racing_bicycle			https://wikidata.org/wiki/Q11442			bicicleta de carreras		racing bicycle	https://en.wikipedia.org/wiki/Racing bicycle	vélo de route	https://fr.wikipedia.org/wiki/Vélo de route	bicicletta da corsa	https://it.wikipedia.org/wiki/Bicicletta da corsa	Rennrad	https://de.wikipedia.org/wiki/Rennrad	speed	https://pt.wikipedia.org/wiki/Speed (ciclismo)			silniční kolo	https://cs.wikipedia.org/wiki/Silniční kolo	
Q1928434	https://wikidata.org/wiki/Q1928434	Touring_bicycle			https://wikidata.org/wiki/Q11442					touring bicycle	https://en.wikipedia.org/wiki/Touring bicycle	vélo de voyage		bici da turismo	https://it.wikipedia.org/wiki/Bici da turismo	Reiserad	https://de.wikipedia.org/wiki/Reiserad							
Q350793	https://wikidata.org/wiki/Q350793	Hybrid_bicycle			https://wikidata.org/wiki/Q11442			Bicicleta híbrida	https://es.wikipedia.org/wiki/Bicicleta híbrida	hybrid bicycle	https://en.wikipedia.org/wiki/Hybrid bicycle	vélo tout chemin	https://fr.wikipedia.org/wiki/Vélo tout chemin											
Q1141961	https://wikidata.org/wiki/Q1141961	Cruiser_bicycle			https://wikidata.org/wiki/Q57239196			Bicicleta playera	https://es.wikipedia.org/wiki/Bicicleta playera	Cruiser bicycle	https://en.wikipedia.org/wiki/Cruiser bicycle	cruiser	https://fr.wikipedia.org/wiki/Cruiser (bicyclette)			Cruiser	https://de.wikipedia.org/wiki/Cruiser (Fahrrad)							
Q2593959	https://wikidata.org/wiki/Q2593959	BMX_bike			https://wikidata.org/wiki/Q11442					BMX bike	https://en.wikipedia.org/wiki/BMX bike													
Q948851	https://wikidata.org/wiki/Q948851	Tandem_bicycle			https://wikidata.org/wiki/Q11442	Tandem (bizikleta)	https://eu.wikipedia.org/wiki/Tandem (bizikleta)	tándem	https://es.wikipedia.org/wiki/Tándem (bicicleta)	tandem bicycle	https://en.wikipedia.org/wiki/Tandem bicycle	tandem	https://fr.wikipedia.org/wiki/Tandem	tandem	https://it.wikipedia.org/wiki/Tandem	Tandem	https://de.wikipedia.org/wiki/Tandem (Fahrrad)	bicicleta tandem	https://pt.wikipedia.org/wiki/Bicicleta tandem	tàndem	https://ca.wikipedia.org/wiki/Tàndem	tandemové kolo	https://cs.wikipedia.org/wiki/Tandemové kolo	
Q2078372	https://wikidata.org/wiki/Q2078372	Lowrider_bicycle			https://wikidata.org/wiki/Q11442					lowrider bicycle	https://en.wikipedia.org/wiki/Lowrider bicycle	lowrider bikes	https://fr.wikipedia.org/wiki/Lowrider bikes			Lowrider (Fahrradtyp)	https://de.wikipedia.org/wiki/Lowrider (Fahrradtyp)							
Q3514538	https://wikidata.org/wiki/Q3514538	Tall_bike			https://wikidata.org/wiki/Q11442	Bizikleta altu	https://eu.wikipedia.org/wiki/Bizikleta altu	bicicleta alta	https://es.wikipedia.org/wiki/Bicicleta alta	tall bike	https://en.wikipedia.org/wiki/Tall bike	Tall bike	https://fr.wikipedia.org/wiki/Tall bike			Tallbike	https://de.wikipedia.org/wiki/Tallbike							
Q873776	https://wikidata.org/wiki/Q873776	Fixed-gear_bicycle			https://wikidata.org/wiki/Q11442	Piñoi finkoko bizikleta	https://eu.wikipedia.org/wiki/Piñoi finkoko bizikleta	Bicicleta de piñón fijo	https://es.wikipedia.org/wiki/Bicicleta de piñón fijo	fixed-gear bicycle	https://en.wikipedia.org/wiki/Fixed-gear bicycle	vélo à pignon fixe	https://fr.wikipedia.org/wiki/Pignon fixe	Bicicletta a scatto fisso	https://it.wikipedia.org/wiki/Bicicletta a scatto fisso	Starrer Gang	https://de.wikipedia.org/wiki/Starrer Gang			pinyó fix	https://ca.wikipedia.org/wiki/Pinyó fix	kolo s pevným převodem	https://cs.wikipedia.org/wiki/Kolo s pevným převodem	
Q1137570	https://wikidata.org/wiki/Q1137570	Folding_bicycle			https://wikidata.org/wiki/Q11442	Bizikleta tolesgarri	https://eu.wikipedia.org/wiki/Bizikleta tolesgarri	bicicleta plegable	https://es.wikipedia.org/wiki/Bicicleta plegable	folding bicycle	https://en.wikipedia.org/wiki/Folding bicycle	vélo pliant	https://fr.wikipedia.org/wiki/Vélo pliant	bicicletta pieghevole	https://it.wikipedia.org/wiki/Bicicletta pieghevole	Faltrad	https://de.wikipedia.org/wiki/Faltrad			Bicicleta plegable	https://ca.wikipedia.org/wiki/Bicicleta plegable	skládací kolo	https://cs.wikipedia.org/wiki/Skládací kolo	
Q15113997	https://wikidata.org/wiki/Q15113997	Amphibious_cycle			https://wikidata.org/wiki/Q11442, https://wikidata.org/wiki/Q474698					amphibious cycle	https://en.wikipedia.org/wiki/Amphibious cycle					Amphibienfahrrad	https://de.wikipedia.org/wiki/Amphibienfahrrad							
Q573863	https://wikidata.org/wiki/Q573863	Cargo_bike		https://wikidata.org/wiki/Q7590, https://wikidata.org/wiki/Q334166	https://wikidata.org/wiki/Q11442, https://wikidata.org/wiki/Q63247926	Kargako bizikleta	https://eu.wikipedia.org/wiki/Kargako bizikleta	bicicleta de reparto	https://es.wikipedia.org/wiki/Bicicleta de reparto	cargo bike	https://en.wikipedia.org/wiki/Cargo bike	vélo cargo	https://fr.wikipedia.org/wiki/Vélo cargo	Bicicletta cargo	https://it.wikipedia.org/wiki/Bicicletta da trasporto	Lastenrad	https://de.wikipedia.org/wiki/Lastenfahrrad					nákladní kolo	https://cs.wikipedia.org/wiki/Nákladní kolo	
Q750483	https://wikidata.org/wiki/Q750483	Recumbent_bicycle			https://wikidata.org/wiki/Q11442, https://wikidata.org/wiki/Q63247926			Bicicleta reclinada	https://es.wikipedia.org/wiki/Bicicleta reclinada	recumbent bicycle	https://en.wikipedia.org/wiki/Recumbent bicycle	Vélo couché	https://fr.wikipedia.org/wiki/Vélo couché	Bicicletta reclinata	https://it.wikipedia.org/wiki/Bicicletta reclinata	Liegerad	https://de.wikipedia.org/wiki/Liegerad	Bicicleta reclinada	https://pt.wikipedia.org/wiki/Bicicleta reclinada	Bicicleta reclinada	https://ca.wikipedia.org/wiki/Bicicleta reclinada	lehokolo	https://cs.wikipedia.org/wiki/Lehokolo	
Q924724	https://wikidata.org/wiki/Q924724	Electric_bicycle		https://wikidata.org/wiki/Q1377570	https://wikidata.org/wiki/Q1076882, https://wikidata.org/wiki/Q11442	Bizikleta elektriko	https://eu.wikipedia.org/wiki/Bizikleta elektriko	bicicleta eléctrica	https://es.wikipedia.org/wiki/Bicicleta eléctrica	electric bicycle	https://en.wikipedia.org/wiki/Electric bicycle	vélo électrique	https://fr.wikipedia.org/wiki/Vélo électrique	bicicletta a pedalata assistita		Elektrorad	https://de.wikipedia.org/wiki/Elektrofahrrad	bicicleta elétrica	https://pt.wikipedia.org/wiki/Bicicleta elétrica	bicicleta elèctrica	https://ca.wikipedia.org/wiki/Bicicleta elèctrica	elektrokolo	https://cs.wikipedia.org/wiki/Elektrokolo	
Q305026	https://wikidata.org/wiki/Q305026	Bicycle_pedal		https://wikidata.org/wiki/Q11442	https://wikidata.org/wiki/Q1231985, https://wikidata.org/wiki/Q30246160, https://wikidata.org/wiki/Q857558	Pedal (bizikleta)	https://eu.wikipedia.org/wiki/Pedal (bizikleta)	pedal de bicicleta	https://es.wikipedia.org/wiki/Pedal de bicicleta	bicycle pedal	https://en.wikipedia.org/wiki/Bicycle pedal	pédale	https://fr.wikipedia.org/wiki/Pédale de bicyclette	pedale di bicicletta		Fahrradpedal	https://de.wikipedia.org/wiki/Fahrradpedal	pedal de bicicleta	https://pt.wikipedia.org/wiki/Pedal de bicicleta	Pedal de bicicleta	https://ca.wikipedia.org/wiki/Pedal de bicicleta			
Q11723891	https://wikidata.org/wiki/Q11723891	Single-track_vehicle			https://wikidata.org/wiki/Q42889					single-track vehicle	https://en.wikipedia.org/wiki/Single-track vehicle	véhicule à trace unique		veicolo monotraccia		Einspuriges Fahrzeug						jednostopé vozidlo		
-1	https://wikidata.org/wiki/-1	Means_of_transportation																						
Q184872	https://wikidata.org/wiki/Q184872	Recreation		https://wikidata.org/wiki/Q180910	https://wikidata.org/wiki/Q451967	dibertsio	https://eu.wikipedia.org/wiki/Dibertsio	diversión	https://es.wikipedia.org/wiki/Diversión	recreation	https://en.wikipedia.org/wiki/Recreation	loisir	https://fr.wikipedia.org/wiki/Loisir	riposo		Erholung	https://de.wikipedia.org/wiki/Erholung	recreação	https://pt.wikipedia.org/wiki/Recreação	activitat recreativa	https://ca.wikipedia.org/wiki/Divertiment	rekreace	https://cs.wikipedia.org/wiki/Rekreace	
Q309252	https://wikidata.org/wiki/Q309252	Physical_fitness			https://wikidata.org/wiki/Q7981051, https://wikidata.org/wiki/Q32090, https://wikidata.org/wiki/Q60389878	Fitness	https://eu.wikipedia.org/wiki/Fitness	fitness	https://es.wikipedia.org/wiki/Fitness	physical fitness	https://en.wikipedia.org/wiki/Physical fitness	condition physique	https://fr.wikipedia.org/wiki/Condition physique	fitness	https://it.wikipedia.org/wiki/Fitness (sport)	Fitness	https://de.wikipedia.org/wiki/Fitness	aptidão física	https://pt.wikipedia.org/wiki/Aptidão física	fitness	https://ca.wikipedia.org/wiki/Fitnes	fitness	https://cs.wikipedia.org/wiki/Fitness	
-1	https://wikidata.org/wiki/-1	Courier_services																						
-1	https://wikidata.org/wiki/-1	Bicycle_racing																						
Q2281298	https://wikidata.org/wiki/Q2281298	Safety_bicycle			https://wikidata.org/wiki/Q11442	Segurtasun-bizikleta	https://eu.wikipedia.org/wiki/Segurtasun-bizikleta	Bicicleta de seguridad	https://es.wikipedia.org/wiki/Bicicleta de seguridad	safety bicycle	https://en.wikipedia.org/wiki/Safety bicycle	bicyclette de sécurité	https://fr.wikipedia.org/wiki/Bicyclette de sécurité	Bicicletta di sicurezza	https://it.wikipedia.org/wiki/Bicicletta di sicurezza	Sicherheitsniederrad	https://de.wikipedia.org/wiki/Sicherheitsniederrad	bicicleta segura	https://pt.wikipedia.org/wiki/Bicicleta segura					
Q950318	https://wikidata.org/wiki/Q950318	Chain_drive			https://wikidata.org/wiki/Q228460	Transmisio-kate	https://eu.wikipedia.org/wiki/Transmisio-kate	Cadena de transmisión	https://es.wikipedia.org/wiki/Cadena de transmisión	chain drive	https://en.wikipedia.org/wiki/Chain drive	Entraînement par Chaîne	https://fr.wikipedia.org/wiki/Entraînement par chaîne			Kettengetriebe	https://de.wikipedia.org/wiki/Kettengetriebe			cadena de transmissió	https://ca.wikipedia.org/wiki/Cadena de transmissió			
-1	https://wikidata.org/wiki/-1	Modern_materials																						
Q184793	https://wikidata.org/wiki/Q184793	Computer-aided_design		https://wikidata.org/wiki/Q21198, https://wikidata.org/wiki/Q192521, https://wikidata.org/wiki/Q11023, https://wikidata.org/wiki/Q101333, https://wikidata.org/wiki/Q1047113	https://wikidata.org/wiki/Q82604, https://wikidata.org/wiki/Q166142	Ordenagailuz lagundutako diseinu	https://eu.wikipedia.org/wiki/Ordenagailuz lagundutako diseinu	diseño asistido por computadora	https://es.wikipedia.org/wiki/Diseño asistido por computadora	computer-aided design	https://en.wikipedia.org/wiki/Computer-aided design	conception assistée par ordinateur	https://fr.wikipedia.org/wiki/Conception assistée par ordinateur	CAD	https://it.wikipedia.org/wiki/CAD	CAD	https://de.wikipedia.org/wiki/CAD	desenho assistido por computador	https://pt.wikipedia.org/wiki/Desenho assistido por computador	Disseny assistit per ordinador	https://ca.wikipedia.org/wiki/Disseny assistit per ordinador	computer aided design	https://cs.wikipedia.org/wiki/Computer aided design	
Q11432170	https://wikidata.org/wiki/Q11432170	Ball_bearing		https://wikidata.org/wiki/Q29279406	https://wikidata.org/wiki/Q1335987	Errodamendu boladun	https://eu.wikipedia.org/wiki/Errodamendu boladun	rodamiento de bolas	https://es.wikipedia.org/wiki/Rodamiento de bolas	ball bearing	https://en.wikipedia.org/wiki/Ball bearing	roulement mécanique						rolamento	https://pt.wikipedia.org/wiki/Rolamento			kuličkové ložisko	https://cs.wikipedia.org/wiki/Kuličkové ložisko	
Q169545	https://wikidata.org/wiki/Q169545	Tire		https://wikidata.org/wiki/Q446, https://wikidata.org/wiki/Q811909	https://wikidata.org/wiki/Q2424752, https://wikidata.org/wiki/Q2162595	pneumatiko	https://eu.wikipedia.org/wiki/Pneumatiko	neumático	https://es.wikipedia.org/wiki/Neumático	tire	https://en.wikipedia.org/wiki/Tire	pneumatique	https://fr.wikipedia.org/wiki/Pneumatique (véhicule)	pneumatico	https://it.wikipedia.org/wiki/Pneumatico	Reifen	https://de.wikipedia.org/wiki/Reifen	pneu	https://pt.wikipedia.org/wiki/Pneu	pneumàtic	https://ca.wikipedia.org/wiki/Pneumàtic	pneumatika	https://cs.wikipedia.org/wiki/Pneumatika	
-1	https://wikidata.org/wiki/-1	Chain-driven_sprocket																						
-1	https://wikidata.org/wiki/-1	Wire_wheels																						
Q12757	https://wikidata.org/wiki/Q12757	Internal_combustion_engine			https://wikidata.org/wiki/Q6018565	Barne-errekuntzako motor	https://eu.wikipedia.org/wiki/Barne-errekuntzako motor	motor de combustión interna	https://es.wikipedia.org/wiki/Motor de combustión interna	internal combustion engine	https://en.wikipedia.org/wiki/Internal combustion engine	moteur à combustion interne	https://fr.wikipedia.org/wiki/Moteur à combustion interne	motore a combustione interna	https://it.wikipedia.org/wiki/Motore a combustione interna	Verbrennungsmotor	https://de.wikipedia.org/wiki/Verbrennungsmotor	motor de combustão interna	https://pt.wikipedia.org/wiki/Motor de combustão interna	motor de combustió interna	https://ca.wikipedia.org/wiki/Motor de combustió interna	motor s vnitřním spalováním	https://cs.wikipedia.org/wiki/Spalovací motor	
-1	https://wikidata.org/wiki/-1	Electric_motors																						
