wikidata	wikidatalink	source_page	instance_of	part_of	subclass_of	eu	eu_wikipedia	es	es_wikipedia	en	en_wikipedia	fr	fr_wikipedia	it	it_wikipedia	de	de_wikipedia	pt	pt_wikipedia	ca	ca_wikipedia	cs	cs_wikipedia
Q156736	https://wikidata.org/wiki/Q156736	Eduardo_Txillida		https://wikidata.org/wiki/Q5		Eduardo Txillida	https://eu.wikipedia.org/wiki/Eduardo Txillida	Eduardo Chillida	https://es.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida	https://en.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida	https://fr.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida	https://it.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida	https://de.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida	https://pt.wikipedia.org/wiki/Eduardo Chillida	Eduardo Chillida Juantegui	https://ca.wikipedia.org/wiki/Eduardo Chillida Juantegui	Eduardo Chillida	https://cs.wikipedia.org/wiki/Eduardo Chillida	
Q2457804	https://wikidata.org/wiki/Q2457804	Koldo_Mitxelena		https://wikidata.org/wiki/Q5		Koldo Mitxelena	https://eu.wikipedia.org/wiki/Koldo Mitxelena	Koldo Mitxelena	https://es.wikipedia.org/wiki/Koldo Mitxelena	Koldo Mitxelena	https://en.wikipedia.org/wiki/Koldo Mitxelena	Koldo Mitxelena	https://fr.wikipedia.org/wiki/Koldo Mitxelena	Koldo Mitxelena		Koldo Mitxelena		Koldo Mitxelena		Koldo Mitxelena	https://ca.wikipedia.org/wiki/Koldo Mitxelena Elissalt			
Q12262145	https://wikidata.org/wiki/Q12262145	Lekeitio_(abestia)				Lekeitio (abestia)	https://eu.wikipedia.org/wiki/Lekeitio (abestia)																	
Q3326886	https://wikidata.org/wiki/Q3326886	Ez_Dok_Amairu		https://wikidata.org/wiki/Q2198855		Ez Dok Amairu	https://eu.wikipedia.org/wiki/Ez Dok Amairu	Ez Dok Amairu	https://es.wikipedia.org/wiki/Ez Dok Amairu	Ez Dok Amairu		Ez Dok Amairu	https://fr.wikipedia.org/wiki/Ez Dok Amairu							Ez Dok Amairu	https://ca.wikipedia.org/wiki/Ez Dok Amairu			
Q12257561	https://wikidata.org/wiki/Q12257561	Euskal_Kantagintza_Berria		https://wikidata.org/wiki/Q188451, https://wikidata.org/wiki/Q107356781	https://wikidata.org/wiki/Q89363113	Euskal Kantagintza Berria	https://eu.wikipedia.org/wiki/Euskal Kantagintza Berria	nueva canción vasca	https://es.wikipedia.org/wiki/Nueva Canción Vasca	euskal kantagintza berria		nouvelle chanson basque								Nova Cançó Basca	https://ca.wikipedia.org/wiki/Nova Cançó Basca			
Q3542632	https://wikidata.org/wiki/Q3542632	Txoria_txori		https://wikidata.org/wiki/Q105543609		Txoria txori	https://eu.wikipedia.org/wiki/Txoria txori	Txoria txori	https://es.wikipedia.org/wiki/Txoria txori	Txoria txori		Txoria txori	https://fr.wikipedia.org/wiki/Txoria txori							Txoria txori	https://ca.wikipedia.org/wiki/Txoria txori			
Q913303	https://wikidata.org/wiki/Q913303	Diario_Vasco		https://wikidata.org/wiki/Q11032		Diario Vasco	https://eu.wikipedia.org/wiki/Diario Vasco	El Diario Vasco	https://es.wikipedia.org/wiki/El Diario Vasco	El Diario Vasco	https://en.wikipedia.org/wiki/El Diario Vasco	El Diario Vasco	https://fr.wikipedia.org/wiki/El Diario Vasco			El Diario Vasco	https://de.wikipedia.org/wiki/El Diario Vasco	El Diario Vasco	https://pt.wikipedia.org/wiki/El Diario Vasco	El Diario Vasco	https://ca.wikipedia.org/wiki/El Diario Vasco			
Q3136805	https://wikidata.org/wiki/Q3136805	Donostiako_historia		https://wikidata.org/wiki/Q17524420		Donostiako historia	https://eu.wikipedia.org/wiki/Donostiako historia	historia de San Sebastián	https://es.wikipedia.org/wiki/Historia de San Sebastián			Histoire de Saint-Sébastien	https://fr.wikipedia.org/wiki/Histoire de Saint-Sébastien							vhgthygy				
Q2265048	https://wikidata.org/wiki/Q2265048	Parte_Zaharra_(Donostia)		https://wikidata.org/wiki/Q123705		Parte Zaharra	https://eu.wikipedia.org/wiki/Parte Zaharra (Donostia)	Parte Vieja	https://es.wikipedia.org/wiki/Parte Vieja	Parte Zaharra		Parte Zaharra	https://fr.wikipedia.org/wiki/Parte Zaharra (Saint-Sébastien)			Parte Zaharra				Parte Zaharra	https://ca.wikipedia.org/wiki/Parte Zaharra			
Q23993616	https://wikidata.org/wiki/Q23993616	Pasai_Donibane		https://wikidata.org/wiki/Q3257686		Pasai Donibane	https://eu.wikipedia.org/wiki/Pasai Donibane	Pasajes San Juan		Pasai Donibane		Pasai Donibane				Pasai Donibane		Pasai Donibane		Pasai Donibane		Pasaia		
Q43093	https://wikidata.org/wiki/Q43093	Euzko_Alderdi_Jeltzalea		https://wikidata.org/wiki/Q92326395		Eusko Alderdi Jeltzalea	https://eu.wikipedia.org/wiki/Euzko Alderdi Jeltzalea	Partido Nacionalista Vasco	https://es.wikipedia.org/wiki/Partido Nacionalista Vasco	Basque Nationalist Party	https://en.wikipedia.org/wiki/Basque Nationalist Party	Parti nationaliste basque	https://fr.wikipedia.org/wiki/Parti nationaliste basque	Partito Nazionalista Basco	https://it.wikipedia.org/wiki/Partito Nazionalista Basco	Eusko Alderdi Jeltzalea-Partido Nacionalista Vasco	https://de.wikipedia.org/wiki/Eusko Alderdi Jeltzalea-Partido Nacionalista Vasco	Partido Nacionalista Basco	https://pt.wikipedia.org/wiki/Partido Nacionalista Basco	Partit Nacionalista Basc	https://ca.wikipedia.org/wiki/Partit Nacionalista Basc	Eusko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)	https://cs.wikipedia.org/wiki/Baskická národní strana	
Q3815226	https://wikidata.org/wiki/Q3815226	Espainiako_Gerra_Zibila_Euskal_Herrian		https://wikidata.org/wiki/Q10859, https://wikidata.org/wiki/Q74817647		Espainiako Gerra Zibila Euskal Herrian	https://eu.wikipedia.org/wiki/Espainiako Gerra Zibila Euskal Herrian	Guerra Civil Española en el País Vasco	https://es.wikipedia.org/wiki/Guerra civil española en el País Vasco	Spanish Civil War in Basque Country										Guerra Civil Espanyola al País Basc	https://ca.wikipedia.org/wiki/Guerra Civil espanyola al País Basc			
